key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,18.03.2024
Export Time,19:10:41
Frame Index Range:,0 - 2325
Relative Time Range,00:00.000 - 00:35.559
Absolute Time Range,28044.848295957338 - 28080.408095151673
